"nr";"GEMMA-naam";"GGM-naam";"GEMMA-guid";"GGM-guid";"GEMMA-type";"GGM-uml-type";"GEMMA-definitie";"GGM-definitie";"GEMMA-toelichting";"GGM-toelichting";"GEMMA-source-guid";"GGM-source-guid";"GEMMA-target-guid";"GGM-target-guid";"Datum-tijd-export"
"55";"";"";"6969929c-535d-4bdc-8b10-f654b1cd7eeb";"EAID_86C8960F_4162_4dd8_98E7_AD6E526DF2EE";"specialization-relationship";"generalization";"";"";"";"";"44f31c7d-6347-4e52-a809-c48563f4b7f1";"EAID_E9AEF0A9_11BC_4d2a_BC48_FB77F04EF9A6";"f14fa1cf-f2c7-4bd6-862d-28ff1616a882";"EAID_8E6BAEF8_1878_400f_9244_23575BD41EAB";"09072026-00:43:48"
"56";"";"";"";"EAID_4323D9C5_F3AB_4acf_902C_45336D4DF3B1";"specialization-relationship";"generalization";"";"";"";"";"";"EAID_DDC990BC_C026_4c98_BEE5_6692EA0C2515";"44f31c7d-6347-4e52-a809-c48563f4b7f1";"EAID_E9AEF0A9_11BC_4d2a_BC48_FB77F04EF9A6";"09072026-00:43:48"
"57";"";"";"26f5cd80-ca4b-4ebc-b2b2-75415c9fc04b";"EAID_FF5B0203_B376_4d22_9FFD_AD7B52587264";"specialization-relationship";"generalization";"";"";"";"";"2856ae2a-1424-41ad-ab9c-0e166972fb2f";"EAID_5CE9E5F3_BA9A_47e4_A4C1_DE21E66E9F8E";"f14fa1cf-f2c7-4bd6-862d-28ff1616a882";"EAID_8E6BAEF8_1878_400f_9244_23575BD41EAB";"09072026-00:43:48"
"58";"";"";"3cf275b6-7e73-466f-9e18-b9d7cb076b5b";"EAID_ACEECD8F_8C9D_4d66_9CE7_F396DC55C3F3";"specialization-relationship";"generalization";"";"";"";"";"ee5a2678-e98b-44af-ae3f-f0c620a66681";"EAID_CB5BCFAA_01F3_468d_A5CE_4E08D3E4FFC2";"f14fa1cf-f2c7-4bd6-862d-28ff1616a882";"EAID_8E6BAEF8_1878_400f_9244_23575BD41EAB";"09072026-00:43:48"
"59";"";"";"bdf5a063-354c-4ef2-82c4-a51d203c7c05";"EAID_4986CADF_A6F2_4d01_B9B4_BBD2EF132544";"specialization-relationship";"generalization";"";"";"";"";"59bf814b-1020-4906-978b-ca22af2eecc0";"EAID_6C283ABA_C1A3_465b_B267_39E75D06E41F";"113af80a-7e3e-41f6-8f79-8d0d48c4c257";"EAID_EA7FE08E_34F7_45d2_BE2E_E4E3B8333BF3";"09072026-00:43:48"
"60";"";"";"ce00af29-3686-4ae7-81f9-c5141947f83e";"EAID_4CF50A56_FB68_465b_A8D0_FD6EA0E9753B";"specialization-relationship";"generalization";"";"";"";"";"3aed2196-8ba9-4441-a27f-15a1f76d3fda";"EAID_8F492648_6EF2_4f8a_87C9_2440230D4137";"e5293eea-47b8-4091-8ac3-b28139a17c9f";"EAID_27219A32_3B52_4f54_AA67_A972F4B7D9D0";"09072026-00:43:48"
"61";"";"";"7a67df5d-d0f5-4ea0-8b52-db12801fcb49";"EAID_2480687F_FBAE_4e71_805B_0456E338F9D4";"specialization-relationship";"generalization";"";"";"";"";"4b2cc303-de99-49c4-968f-836a71825814";"EAID_5805FA72_C0CE_43c1_A53F_B81166AEFDD4";"b403d1ab-a0ee-4ca0-befa-01bbc54bf403";"EAID_B60B8EF9_D1C0_4e36_BF9B_1C16F92518DD";"09072026-00:43:48"
"62";"";"";"29029f13-1f2e-483d-8001-871b97d5a2ed";"EAID_C9C1BB34_7A67_4b56_B6A0_1DCDF215AD43";"specialization-relationship";"generalization";"";"";"";"";"9f1dd63c-3407-460d-aef7-56cb6c3c20ad";"EAID_8F05E7BA_E7ED_45d1_9626_C8D7FBDB2F1B";"b403d1ab-a0ee-4ca0-befa-01bbc54bf403";"EAID_B60B8EF9_D1C0_4e36_BF9B_1C16F92518DD";"09072026-00:43:48"
"63";"";"";"b653823c-e340-4524-acac-915385916139";"EAID_F3716261_00DA_4215_8CE5_E87EC68DB622";"specialization-relationship";"generalization";"";"";"";"";"13ede1f8-bf63-4da6-abbd-cdc18b7ec39a";"EAID_66E2B5BA_44A0_4fde_AE33_E211EE4832C2";"f14fa1cf-f2c7-4bd6-862d-28ff1616a882";"EAID_8E6BAEF8_1878_400f_9244_23575BD41EAB";"09072026-00:43:48"
"64";"";"";"";"EAID_654A0103_3CC2_4580_9F2C_EE4E8E2C0AF1";"specialization-relationship";"generalization";"";"";"";"";"";"EAID_E9DECE41_F7F5_49f1_94B5_63DE941F6094";"13ede1f8-bf63-4da6-abbd-cdc18b7ec39a";"EAID_66E2B5BA_44A0_4fde_AE33_E211EE4832C2";"09072026-00:43:48"
