"diagram_guid";"diagram_naam";"beleidsdomein_guid";"beleidsdomein_naam";"taakveld";"aantal_entiteiten"
"EAID_DE0CB351_FB74_452a_BBDA_DDB46A615D8D";"Testen Panden en Kadastraal onroerende zaak";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"0"
"EAID_E2134E58_5AC0_48c2_B66E_BBD5CF2D3A8F";"VEGETATIEOBJECT";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"3"
"EAID_65A28EF7_BB44_49ac_ACFC_5319880C3B97";"VERBLIJFSOBJECT";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"8"
"EAID_3CAB7DD2_51D3_45b3_9CE1_61E0150F792D";"VESTIGING";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"8"
"EAID_665EFCE1_87B4_4cdc_BA6A_775332F68C79";"Valutasoorten referenties";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"1"
"EAID_00D4246F_6ED7_4690_A180_ACCCD6AB1291";"Vastgoed Domeinmodel ";"EAPK_64927CCE_C5AB_447e_BB41_C961BE1EA1BD";"Vastgoed";"9 Interne Organisatie";"19"
"EAID_06E44472_8C2A_40eb_9965_DCF91A1322C9";"Vastgoed Leveranciers";"EAPK_64927CCE_C5AB_447e_BB41_C961BE1EA1BD";"Vastgoed";"9 Interne Organisatie";"8"
"EAID_EFF3FBED_B92D_4172_B142_567C2B6ACF01";"Vastgoed Relaties met Kern ";"EAPK_64927CCE_C5AB_447e_BB41_C961BE1EA1BD";"Vastgoed";"9 Interne Organisatie";"5"
"EAID_0CF01F05_D23F_454a_A0CD_042C2DD9EE7D";"Vastgoed WOZ";"EAPK_64927CCE_C5AB_447e_BB41_C961BE1EA1BD";"Vastgoed";"9 Interne Organisatie";"14"
"EAID_FDB58817_3F2A_4d73_A7DB_7906F9B9EB45";"Vastgoed verankering RSGB IMBAG";"EAPK_64927CCE_C5AB_447e_BB41_C961BE1EA1BD";"Vastgoed";"9 Interne Organisatie";"53"
